Common Name,Scientific Name
Great Reed Warbler,Acrocephalus arundinaceus
River Warbler,Locustella fluviatilis
Fan-tailed Grassbird,Catriscus brevirostris
Knysna Warbler,Bradypterus sylvaticus
Barratt's Warbler,Bradypterus barratti
Little Rush Warbler,Bradypterus baboecala
Black Sawwing,Psalidoprocne pristoptera
Gray-rumped Swallow,Pseudhirundo griseopyga
Mascarene Martin,Phedina borbonica
Banded Martin,Neophedina cincta
Plain Martin,Riparia paludicola
Bank Swallow,Riparia riparia
Southern Crag-Martin,Ptyonoprogne fuligula
Montane Blue Swallow,Hirundo atrocaerulea
Pearl-breasted Swallow,Hirundo dimidiata
