common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors	common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors
Knysna Turaco	Tauraco corythaix	Knysnaloerie	https://birda.twic.pics/species/5243d443-8898-4507-a036-953a8da2f39e/reference_images/Knysna_Turaco.jpg	https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC895558-Tauraco-corythaix-231221_004-5-54--7-53%2C2BB.mp3	Turacos	Large	Forest	['Green', 'Red', 'Blue']	Knysna Turaco	Tauraco corythaix	Knysnaloerie	https://birda.twic.pics/species/5243d443-8898-4507-a036-953a8da2f39e/reference_images/Knysna_Turaco.jpg	https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC895558-Tauraco-corythaix-231221_004-5-54--7-53%2C2BB.mp3	Turacos	Large	Forest	['Green', 'Red', 'Blue']
Knysna Warbler	Bradypterus sylvaticus	Knysnaruigtesanger	https://cdn.sabirds.app/knysna-woodpecker/1_medium.webp	https://xeno-canto.org/sounds/uploaded/FBRAYAXGSJ/XC1031080-Knysna-Warbler-%281%29.mp3	Bush-Warblers	Small	Forest	['Brown', 'Buff']	Knysna Warbler	Bradypterus sylvaticus	Knysnaruigtesanger	https://cdn.sabirds.app/knysna-woodpecker/1_medium.webp	https://xeno-canto.org/sounds/uploaded/FBRAYAXGSJ/XC1031080-Knysna-Warbler-%281%29.mp3	Bush-Warblers	Small	Forest	['Brown', 'Buff']
Knysna Woodpecker	Campethera notata	Knysnaspeg	https://cdn.sabirds.app/kori-bustard/1_medium.webp	https://xeno-canto.org/sounds/uploaded/LWQXRZHFCU/XC1064907-2025-12-09-04_24-knysna-woodpecker.mp3	Woodpeckers	Medium	Forest	['Green', 'Grey', 'Red']	Knysna Woodpecker	Campethera notata	Knysnaspeg	https://cdn.sabirds.app/kori-bustard/1_medium.webp	https://xeno-canto.org/sounds/uploaded/LWQXRZHFCU/XC1064907-2025-12-09-04_24-knysna-woodpecker.mp3	Woodpeckers	Medium	Forest	['Green', 'Grey', 'Red']
Kori Bustard	Ardeotis kori	Gompou	https://birda.twic.pics/species/56835cd0-b5ec-4191-afca-fff0259d65be/reference_images/Koi_Bustard.jpg	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC209987-Kori%20Bustard2014-12-23-1.mp3	Bustards	Very Large	Grassland	['Brown', 'Grey', 'White']	Kori Bustard	Ardeotis kori	Gompou	https://birda.twic.pics/species/56835cd0-b5ec-4191-afca-fff0259d65be/reference_images/Koi_Bustard.jpg	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC209987-Kori%20Bustard2014-12-23-1.mp3	Bustards	Very Large	Grassland	['Brown', 'Grey', 'White']
Kurrichane Thrush	Turdus libonyana	Rooibeklyster	https://birda.twic.pics/species/4bbf342e-e657-49f5-bab5-f581584449a6/reference_images/Kurrichane_Thrush.jpg	https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC1004839-Thrush_Kurrichane1_M6EW-1008_Tuli_Serolo_Limpopo_East_Dawn_6thSep23.mp3	Thrushes	Medium	Woodland	['Brown', 'Orange', 'Grey']	Kurrichane Thrush	Turdus libonyana	Rooibeklyster	https://birda.twic.pics/species/4bbf342e-e657-49f5-bab5-f581584449a6/reference_images/Kurrichane_Thrush.jpg	https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC1004839-Thrush_Kurrichane1_M6EW-1008_Tuli_Serolo_Limpopo_East_Dawn_6thSep23.mp3	Thrushes	Medium	Woodland	['Brown', 'Orange', 'Grey']
Lanner Falcon	Falco biarmicus	Edelvalk	https://birda.twic.pics/species/b7788035-d571-4a49-b894-6db533a662ef/reference_images/Lanner_Falcon-_Flying-_New.jpg	https://xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/XC577955-FALBIA_100401_Beaucens_GO2.mp3	Falcons	Large	Fynbos	['Brown', 'Buff', 'Black']	Lanner Falcon	Falco biarmicus	Edelvalk	https://birda.twic.pics/species/b7788035-d571-4a49-b894-6db533a662ef/reference_images/Lanner_Falcon-_Flying-_New.jpg	https://xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/XC577955-FALBIA_100401_Beaucens_GO2.mp3	Falcons	Large	Fynbos	['Brown', 'Buff', 'Black']
Lappet-faced Vulture	Torgos tracheliotos	Swartaasvoël	https://birda.twic.pics/species/1defd38b-ac7e-442f-893e-855b20d9ed8e/reference_images/Lappet-faced_Vulture.jpg	no audio found	Vultures	Very Large	Grassland	['Brown', 'Black', 'Pink']	Lappet-faced Vulture	Torgos tracheliotos	Swartaasvoël	https://birda.twic.pics/species/1defd38b-ac7e-442f-893e-855b20d9ed8e/reference_images/Lappet-faced_Vulture.jpg	no audio found	Vultures	Very Large	Grassland	['Brown', 'Black', 'Pink']
Large-billed Lark	Galerida magnirostris	Dikbeklewerik	https://birda.twic.pics/species/14b201a6-5ca3-46aa-afe9-231ebcb6156f/reference_images/Large-billed_Lark.jpg	https://xeno-canto.org/sounds/uploaded/TSMVYZCIWC/XC1005406-20250405-dikbeklewerik.mp3	Larks	Small	Grassland	['Brown', 'Buff', 'White']	Large-billed Lark	Galerida magnirostris	Dikbeklewerik	https://birda.twic.pics/species/14b201a6-5ca3-46aa-afe9-231ebcb6156f/reference_images/Large-billed_Lark.jpg	https://xeno-canto.org/sounds/uploaded/TSMVYZCIWC/XC1005406-20250405-dikbeklewerik.mp3	Larks	Small	Grassland	['Brown', 'Buff', 'White']
Lark-like Bunting	Emberiza impetuani	Vaalstreepkoppie	https://birda.twic.pics/species/407f14c4-60fe-48d5-940f-9c3a60baacf6/reference_images/Lark-like_Bunting.jpg	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC929778-BuntingLarklike_SandymountparkFauresmith_20240822_a.mp3	Buntings	Small	Karoo	['Brown', 'Buff']	Lark-like Bunting	Emberiza impetuani	Vaalstreepkoppie	https://birda.twic.pics/species/407f14c4-60fe-48d5-940f-9c3a60baacf6/reference_images/Lark-like_Bunting.jpg	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC929778-BuntingLarklike_SandymountparkFauresmith_20240822_a.mp3	Buntings	Small	Karoo	['Brown', 'Buff']
Laughing Dove	Spilopelia senegalensis	Rooiborsduifie	https://birda.twic.pics/species/2163623c-004f-4dae-b1d5-c41e631e7b9c/reference_images/Laughing_Dove_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1073442-Laughing-Dove-singing-very-good-2026-01-17,-Qudra-Pivoet-Fields,-Dubai,-UAE_168_edited.mp3	Doves	Medium	Woodland	['Brown', 'Pink', 'Blue']	Laughing Dove	Spilopelia senegalensis	Rooiborsduifie	https://birda.twic.pics/species/2163623c-004f-4dae-b1d5-c41e631e7b9c/reference_images/Laughing_Dove_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1073442-Laughing-Dove-singing-very-good-2026-01-17,-Qudra-Pivoet-Fields,-Dubai,-UAE_168_edited.mp3	Doves	Medium	Woodland	['Brown', 'Pink', 'Blue']
Laughing Gull	Leucophaeus atricilla	Lagmeeu	https://cdn.sabirds.app/layards-tit-babbler/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YHKQPPJDVP/XC142543-Lagu%203%20%283-4%20birds%29.mp3	Gulls	Large	Woodland	['White', 'Grey', 'Black']	Laughing Gull	Leucophaeus atricilla	Lagmeeu	https://cdn.sabirds.app/layards-tit-babbler/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YHKQPPJDVP/XC142543-Lagu%203%20%283-4%20birds%29.mp3	Gulls	Large	Woodland	['White', 'Grey', 'Black']
Layard's Tit-babbler	Curruca layardi	Grystjeriktik	https://cdn.sabirds.app/laysan-albatross/1_medium.webp	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC929775-WarblerLayard_SandymountparkFauresmith_20240820.mp3	Warblers	Tiny	Woodland	['Brown', 'Grey', 'White']	Layard's Tit-babbler	Curruca layardi	Grystjeriktik	https://cdn.sabirds.app/laysan-albatross/1_medium.webp	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC929775-WarblerLayard_SandymountparkFauresmith_20240820.mp3	Warblers	Tiny	Woodland	['Brown', 'Grey', 'White']
Laysan Albatross	Phoebastria immutabilis	Swartwangalbatros (-malmok)	https://birda.twic.pics/species/daf9ce02-ba95-45b8-8448-aaa00e529381/reference_images/Laysan_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/RWYJBFIULI/XC862248-July9_LAAL_feeding.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Grey']	Laysan Albatross	Phoebastria immutabilis	Swartwangalbatros (-malmok)	https://birda.twic.pics/species/daf9ce02-ba95-45b8-8448-aaa00e529381/reference_images/Laysan_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/RWYJBFIULI/XC862248-July9_LAAL_feeding.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Grey']
Lazy Cisticola	Cisticola aberrans	Luitinktinkie	https://cdn.sabirds.app/leachs-storm-petrel/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963647-lazy-cisticola-%28call%29-CecilCop%2CMutare%2CZIM_20240918_123547.mp3	Cisticolas	Tiny	Rocky	['Brown', 'Buff']	Lazy Cisticola	Cisticola aberrans	Luitinktinkie	https://cdn.sabirds.app/leachs-storm-petrel/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963647-lazy-cisticola-%28call%29-CecilCop%2CMutare%2CZIM_20240918_123547.mp3	Cisticolas	Tiny	Rocky	['Brown', 'Buff']
Leach's Storm Petrel	Hydrobates leucorhous	Swaalstertstormswael	https://cdn.sabirds.app/lemon-dove/1_medium.webp	https://xeno-canto.org/sounds/uploaded/HUEOQCQSKZ/XC1028088-Leach-s-Petrel-CWW.mp3	Storm-Petrels	Small	Marine	['Black', 'Grey']	Leach's Storm Petrel	Hydrobates leucorhous	Swaalstertstormswael	https://cdn.sabirds.app/lemon-dove/1_medium.webp	https://xeno-canto.org/sounds/uploaded/HUEOQCQSKZ/XC1028088-Leach-s-Petrel-CWW.mp3	Storm-Petrels	Small	Marine	['Black', 'Grey']
Lemon Dove	Columba larvata	Kaneelduifie	https://birda.twic.pics/species/29821163-8ede-4353-9c3c-08d0dc54c98c/reference_images/Lemon_Dove.jpg	https://xeno-canto.org/sounds/uploaded/SGNUEQHVBW/XC514559-2019_06_08_TIME_14_31_32_plus_00m006_LemonDive_2056m_call_VolUpHIghPass.mp3	Pigeons	Medium	Woodland	['Brown', 'Grey', 'Yellow']	Lemon Dove	Columba larvata	Kaneelduifie	https://birda.twic.pics/species/29821163-8ede-4353-9c3c-08d0dc54c98c/reference_images/Lemon_Dove.jpg	https://xeno-canto.org/sounds/uploaded/SGNUEQHVBW/XC514559-2019_06_08_TIME_14_31_32_plus_00m006_LemonDive_2056m_call_VolUpHIghPass.mp3	Pigeons	Medium	Woodland	['Brown', 'Grey', 'Yellow']
Lemon-breasted Canary	Crithagra citrinipectus	Geelborskanarie	https://cdn.sabirds.app/lesser-black-backed-gull/1_medium.webp	https://xeno-canto.org/sounds/uploaded/BDKVVQTZVD/XC395992-Lemon-breasted%20Canary%28calls%29_Vilanculo%28Mz%29_26-11-17-09401.mp3	Canaries	Tiny	Woodland	['Yellow', 'Green', 'White']	Lemon-breasted Canary	Crithagra citrinipectus	Geelborskanarie	https://cdn.sabirds.app/lesser-black-backed-gull/1_medium.webp	https://xeno-canto.org/sounds/uploaded/BDKVVQTZVD/XC395992-Lemon-breasted%20Canary%28calls%29_Vilanculo%28Mz%29_26-11-17-09401.mp3	Canaries	Tiny	Woodland	['Yellow', 'Green', 'White']
Lesser Black-backed Gull	Larus fuscus	Kleinswartrugmeeu	https://birda.twic.pics/species/5e506f49-f932-41a5-9dfa-9ebf8a093694/reference_images/Lesser_Black-backed_Gull.jpg	https://xeno-canto.org/sounds/uploaded/ITHRUQEQCF/XC1065457-Larus-fuscus_flight-call_1218_1350.mp3	Gulls	Large	Coastal	['Grey', 'White', 'Yellow']	Lesser Black-backed Gull	Larus fuscus	Kleinswartrugmeeu	https://birda.twic.pics/species/5e506f49-f932-41a5-9dfa-9ebf8a093694/reference_images/Lesser_Black-backed_Gull.jpg	https://xeno-canto.org/sounds/uploaded/ITHRUQEQCF/XC1065457-Larus-fuscus_flight-call_1218_1350.mp3	Gulls	Large	Coastal	['Grey', 'White', 'Yellow']
Lesser Crested Tern	Thalasseus bengalensis	Kuifkopsterretjie	https://birda.twic.pics/species/8d0bf81f-faa9-41ef-8da3-e3fecd08c646/reference_images/Lesser_Crested_Tern.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1069493-Lesser-Crested-Tern-call-very-good-2025-04-23-Jana-Island,-Saudi-Arabia_194_edited.mp3	Terns	Medium	Coastal	['White', 'Black', 'Orange']	Lesser Crested Tern	Thalasseus bengalensis	Kuifkopsterretjie	https://birda.twic.pics/species/8d0bf81f-faa9-41ef-8da3-e3fecd08c646/reference_images/Lesser_Crested_Tern.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1069493-Lesser-Crested-Tern-call-very-good-2025-04-23-Jana-Island,-Saudi-Arabia_194_edited.mp3	Terns	Medium	Coastal	['White', 'Black', 'Orange']
Lesser Cuckoo	Cuculus poliocephalus	Kleinkoekoek	https://cdn.sabirds.app/lesser-flamingo/1_medium.webp	https://xeno-canto.org/sounds/uploaded/NWTKEXMKCA/XC1016720-Lesser-Cuckoo_Wolong.mp3	Cuckoos	Small	Forest	['Grey', 'Brown', 'Black']	Lesser Cuckoo	Cuculus poliocephalus	Kleinkoekoek	https://cdn.sabirds.app/lesser-flamingo/1_medium.webp	https://xeno-canto.org/sounds/uploaded/NWTKEXMKCA/XC1016720-Lesser-Cuckoo_Wolong.mp3	Cuckoos	Small	Forest	['Grey', 'Brown', 'Black']
Lesser Flamingo	Phoeniconaias minor	Kleinflamink	https://birda.twic.pics/species/3aa797a5-9021-4f8e-88b5-4429e2104d19/reference_images/Lesser_Flamingo.jpg	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC383208-flamant%20nain%20h.mp3	Flamingos	Very Large	Wetland	['Pink', 'Red', 'Black']	Lesser Flamingo	Phoeniconaias minor	Kleinflamink	https://birda.twic.pics/species/3aa797a5-9021-4f8e-88b5-4429e2104d19/reference_images/Lesser_Flamingo.jpg	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC383208-flamant%20nain%20h.mp3	Flamingos	Very Large	Wetland	['Pink', 'Red', 'Black']
Lesser Frigatebird	Fregata ariel	Kleinfregatvoël	https://cdn.sabirds.app/lesser-grey-shrike/1_medium.webp	no audio found	Frigatebirds	Large	Marine	['Black', 'White', 'Red']	Lesser Frigatebird	Fregata ariel	Kleinfregatvoël	https://cdn.sabirds.app/lesser-grey-shrike/1_medium.webp	no audio found	Frigatebirds	Large	Marine	['Black', 'White', 'Red']
Lesser Grey Shrike	Lanius minor	Gryslaksman	https://birda.twic.pics/species/4b54af56-5c3a-4f9c-8e0e-26abf736d4d5/reference_images/Lesser_Grey_Shrike.jpg	https://xeno-canto.org/sounds/uploaded/JXZFXAZWHY/XC924570-15.07.2024---12.24---Lanius-minor.mp3	Shrikes	Small	Grassland	['Grey', 'Black', 'White']	Lesser Grey Shrike	Lanius minor	Gryslaksman	https://birda.twic.pics/species/4b54af56-5c3a-4f9c-8e0e-26abf736d4d5/reference_images/Lesser_Grey_Shrike.jpg	https://xeno-canto.org/sounds/uploaded/JXZFXAZWHY/XC924570-15.07.2024---12.24---Lanius-minor.mp3	Shrikes	Small	Grassland	['Grey', 'Black', 'White']
Lesser Honeyguide	Indicator minor	Kleinheuningwyser	https://cdn.sabirds.app/lesser-jacana/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RANUPRSOEW/XC1041085-Honeyguide%2C-Lesser_Tokai-24-04-21.mp3	Honeyguides	Small	Woodland	['Grey', 'Green', 'White']	Lesser Honeyguide	Indicator minor	Kleinheuningwyser	https://cdn.sabirds.app/lesser-jacana/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RANUPRSOEW/XC1041085-Honeyguide%2C-Lesser_Tokai-24-04-21.mp3	Honeyguides	Small	Woodland	['Grey', 'Green', 'White']
Lesser Jacana	Microparra capensis	Dwerglangtoon	https://birda.twic.pics/species/57e26fcc-9e45-411a-990b-242d51ac3538/reference_images/Lesser_Jacana.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791510-lesser-jacana-%28call%29-MwekeraDam%2CKamfinsa%2CZAMBIA_20230312_093843_01.mp3	Jacanas	Small	Wetland	['Brown', 'White', 'Yellow']	Lesser Jacana	Microparra capensis	Dwerglangtoon	https://birda.twic.pics/species/57e26fcc-9e45-411a-990b-242d51ac3538/reference_images/Lesser_Jacana.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791510-lesser-jacana-%28call%29-MwekeraDam%2CKamfinsa%2CZAMBIA_20230312_093843_01.mp3	Jacanas	Small	Wetland	['Brown', 'White', 'Yellow']
Lesser Kestrel	Falco naumanni	Kleinrooivalk	https://birda.twic.pics/species/f442edf4-7ff2-4d12-8220-1f15d343b01d/reference_images/Lesser_Kestrel_-_Male_-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/POVKNQVSGU/XC994535-Falco-naumanni_flight-call_030525_Pedrezuela_1455.mp3	Falcons	Medium	Grassland	['Brown', 'Grey', 'Black']	Lesser Kestrel	Falco naumanni	Kleinrooivalk	https://birda.twic.pics/species/f442edf4-7ff2-4d12-8220-1f15d343b01d/reference_images/Lesser_Kestrel_-_Male_-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/POVKNQVSGU/XC994535-Falco-naumanni_flight-call_030525_Pedrezuela_1455.mp3	Falcons	Medium	Grassland	['Brown', 'Grey', 'Black']
Lesser Masked Weaver	Ploceus intermedius	Kleingeelvink	https://birda.twic.pics/species/e51b715d-0fac-4691-9798-9eb6e3e1f46e/reference_images/Lesser_Masked_Weaver-_Male.jpg	https://xeno-canto.org/sounds/uploaded/GNEWSLMDAM/XC608248-Lesser%20Masked%20Weaver%20Mweya%20May%2020%202018%20edit%20PG1627.mp3	Weavers	Small	Woodland	['Yellow', 'Black']	Lesser Masked Weaver	Ploceus intermedius	Kleingeelvink	https://birda.twic.pics/species/e51b715d-0fac-4691-9798-9eb6e3e1f46e/reference_images/Lesser_Masked_Weaver-_Male.jpg	https://xeno-canto.org/sounds/uploaded/GNEWSLMDAM/XC608248-Lesser%20Masked%20Weaver%20Mweya%20May%2020%202018%20edit%20PG1627.mp3	Weavers	Small	Woodland	['Yellow', 'Black']
Lesser Moorhen	Paragallinula angulata	Kleinwaterhoender	https://birda.twic.pics/species/da2bb7ce-4113-4fff-98c9-6650631cf795/reference_images/Lesser_Moorhen.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791485-Lesser-moorhen-%28call%2Csong%29-kamfinsadairyfarm%2CKitwe%2CZAMBIA_20230219_081010_2.mp3	Moorhens	Medium	Wetland	['Black', 'Yellow', 'Green']	Lesser Moorhen	Paragallinula angulata	Kleinwaterhoender	https://birda.twic.pics/species/da2bb7ce-4113-4fff-98c9-6650631cf795/reference_images/Lesser_Moorhen.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791485-Lesser-moorhen-%28call%2Csong%29-kamfinsadairyfarm%2CKitwe%2CZAMBIA_20230219_081010_2.mp3	Moorhens	Medium	Wetland	['Black', 'Yellow', 'Green']
Lesser Noddy	Anous tenuirostris	Kleinbruinsterretjie	https://cdn.sabirds.app/lesser-sand-plover/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IFRLJBSAMX/XC148687-Lesser%20Noddy.mp3	Noddies	Medium	Marine	['White', 'Grey', 'Black']	Lesser Noddy	Anous tenuirostris	Kleinbruinsterretjie	https://cdn.sabirds.app/lesser-sand-plover/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IFRLJBSAMX/XC148687-Lesser%20Noddy.mp3	Noddies	Medium	Marine	['White', 'Grey', 'Black']
Lesser Sand Plover	Charadrius mongolus	Mongoolse Strandkiewiet	https://birda.twic.pics/species/2db6e0a8-3a60-4b89-871e-1389d6044c4e/reference_images/Lesser_Sand_Plover_-_Male-_Breedin.jpg	#N/A	Plovers	Medium	Wetland	['Brown', 'White']	Lesser Sand Plover	Charadrius mongolus	Mongoolse Strandkiewiet	https://birda.twic.pics/species/2db6e0a8-3a60-4b89-871e-1389d6044c4e/reference_images/Lesser_Sand_Plover_-_Male-_Breedin.jpg	#N/A	Plovers	Medium	Wetland	['Brown', 'White']
Lesser Spotted Eagle	Clanga pomarina	Gevlekte Arend	https://birda.twic.pics/species/d4569798-a95a-4d59-9048-4a5fcd43797e/reference_images/Lesser_Spotted_Eagle-_Flying_.jpg	https://xeno-canto.org/sounds/uploaded/XIBLXHRPJO/XC1028980-CLAPOM-AIASTE-250814_1473-%282%29.mp3	Eagles	Very Large	Forest	['Brown', 'White', 'Black']	Lesser Spotted Eagle	Clanga pomarina	Gevlekte Arend	https://birda.twic.pics/species/d4569798-a95a-4d59-9048-4a5fcd43797e/reference_images/Lesser_Spotted_Eagle-_Flying_.jpg	https://xeno-canto.org/sounds/uploaded/XIBLXHRPJO/XC1028980-CLAPOM-AIASTE-250814_1473-%282%29.mp3	Eagles	Very Large	Forest	['Brown', 'White', 'Black']
Lesser Striped Swallow	Cecropis abyssinica	Kleinstreepswael	https://birda.twic.pics/species/db069cd5-dbbc-4146-aa42-1d96dbb024d3/reference_images/Lesser_Striped_Swallow.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1003508-20240220_KNP_NSerpa_XA60_A001C028_24022088_CANON_SLE_2kHzHP_-3dBNORM_split_2clips.mp3	Swallows	Tiny	Grassland	['Blue', 'Orange', 'White']	Lesser Striped Swallow	Cecropis abyssinica	Kleinstreepswael	https://birda.twic.pics/species/db069cd5-dbbc-4146-aa42-1d96dbb024d3/reference_images/Lesser_Striped_Swallow.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1003508-20240220_KNP_NSerpa_XA60_A001C028_24022088_CANON_SLE_2kHzHP_-3dBNORM_split_2clips.mp3	Swallows	Tiny	Grassland	['Blue', 'Orange', 'White']
Lesser Swamp Warbler	Acrocephalus gracilirostris	Kaapse Rietsanger	https://birda.twic.pics/species/9e115dd7-e4cf-4384-82b4-e12cfe197a45/reference_images/Lesser_Swamp_Warbler.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1051052-20251002_DV_AKaramitsos_MVI_0039_SLE_150HzHP_-3dBNORM_unid.mp3	Reed-Warblers	Tiny	Wetland	['Brown', 'Buff']	Lesser Swamp Warbler	Acrocephalus gracilirostris	Kaapse Rietsanger	https://birda.twic.pics/species/9e115dd7-e4cf-4384-82b4-e12cfe197a45/reference_images/Lesser_Swamp_Warbler.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1051052-20251002_DV_AKaramitsos_MVI_0039_SLE_150HzHP_-3dBNORM_unid.mp3	Reed-Warblers	Tiny	Wetland	['Brown', 'Buff']
Lesser Whitethroat	Curruca curruca	Klein Witkeelsanger	https://cdn.sabirds.app/lesser-yellowlegs/1_medium.webp	https://xeno-canto.org/sounds/uploaded/WMHNJNGJCW/XC1069647-SYLCUR050506b.mp3	Warblers	Tiny	Woodland	['White', 'Green', 'Yellow', 'Grey']	Lesser Whitethroat	Curruca curruca	Klein Witkeelsanger	https://cdn.sabirds.app/lesser-yellowlegs/1_medium.webp	https://xeno-canto.org/sounds/uploaded/WMHNJNGJCW/XC1069647-SYLCUR050506b.mp3	Warblers	Tiny	Woodland	['White', 'Green', 'Yellow', 'Grey']
Lesser Yellowlegs	Tringa flavipes	Kleingeelpootruiter	https://birda.twic.pics/species/446d9b93-f9b7-449a-a272-a954ca3a4947/reference_images/Lesser_Yellowlegs.jpg	https://xeno-canto.org/sounds/uploaded/TVVXDBKYFX/XC1060895-Petit-Chevalier.mp3	Sandpipers	Medium	Wetland	['Yellow', 'Brown', 'Grey', 'White']	Lesser Yellowlegs	Tringa flavipes	Kleingeelpootruiter	https://birda.twic.pics/species/446d9b93-f9b7-449a-a272-a954ca3a4947/reference_images/Lesser_Yellowlegs.jpg	https://xeno-canto.org/sounds/uploaded/TVVXDBKYFX/XC1060895-Petit-Chevalier.mp3	Sandpipers	Medium	Wetland	['Yellow', 'Brown', 'Grey', 'White']
Levaillant's Cisticola	Cisticola tinniens	Vleitinktinkie	https://birda.twic.pics/species/608d051c-9e24-4f59-b8b5-9b8e05be0e55/reference_images/Levaillants_Cisticola_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/BLXNBOBSQB/XC1063924-Levaillant-s-Cisticola-song1.mp3	Cisticolas	Tiny	Wetland	['Brown', 'Orange', 'Buff']	Levaillant's Cisticola	Cisticola tinniens	Vleitinktinkie	https://birda.twic.pics/species/608d051c-9e24-4f59-b8b5-9b8e05be0e55/reference_images/Levaillants_Cisticola_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/BLXNBOBSQB/XC1063924-Levaillant-s-Cisticola-song1.mp3	Cisticolas	Tiny	Wetland	['Brown', 'Orange', 'Buff']
Levaillant's Cuckoo	Clamator levaillantii	Gestreepte Nuwejaarsvoël	https://birda.twic.pics/species/945a8823-51c1-41c0-a381-3b48d890a09c/reference_images/Levaillants_Cuckoo.jpg	https://xeno-canto.org/sounds/uploaded/CPQVBBQHWL/XC1010298-20250629_095356_1-lev-cuckoo.mp3	Cuckoos	Medium	Grassland	['Black', 'White', 'Grey']	Levaillant's Cuckoo	Clamator levaillantii	Gestreepte Nuwejaarsvoël	https://birda.twic.pics/species/945a8823-51c1-41c0-a381-3b48d890a09c/reference_images/Levaillants_Cuckoo.jpg	https://xeno-canto.org/sounds/uploaded/CPQVBBQHWL/XC1010298-20250629_095356_1-lev-cuckoo.mp3	Cuckoos	Medium	Grassland	['Black', 'White', 'Grey']
Light-mantled Albatross	Phoebetria palpebrata	Swartkopalbatros (-malmok)	https://birda.twic.pics/species/afa274d2-110e-4e14-877e-61cc7e156eba/reference_images/Light-mantled_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/RDBQTCTEUE/XC863983-Albatrosfuligineuàdosclair_KERGUELEN_CanonDesSourcilsNoirs_Cri-chant_2022_5.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Grey']	Light-mantled Albatross	Phoebetria palpebrata	Swartkopalbatros (-malmok)	https://birda.twic.pics/species/afa274d2-110e-4e14-877e-61cc7e156eba/reference_images/Light-mantled_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/RDBQTCTEUE/XC863983-Albatrosfuligineuàdosclair_KERGUELEN_CanonDesSourcilsNoirs_Cri-chant_2022_5.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Grey']
