common_name,scientific_name
Jameson's Firefinch,Lagonosticta rhodopareia
Kalahari Scrub Robin,Cercotrichas paena
Karoo Chat,Emarginata schlegelii
Karoo Eremomela,Eremomela gregalis
Karoo Korhaan,Eupodotis vigorsii
Karoo Lark,Calendulauda albescens
Karoo Long-billed Lark,Certhilauda subcoronata
Karoo Prinia,Prinia maculosa
Karoo Scrub Robin,Cercotrichas coryphoeus
Karoo Thrush,Turdus smithi
Kelp Gull,Larus dominicanus
Kerguelen Petrel,Aphrodroma brevirostris
King Penguin,Aptenodytes patagonicus
Kittlitz's Plover,Charadrius pecuarius
Klaas's Cuckoo,Chrysococcyx klaas
Knob-billed Duck,Sarkidiornis melanotos
Knysna Turaco,Tauraco corythaix
Knysna Warbler,Bradypterus sylvaticus
Knysna Woodpecker,Campethera notata
Kori Bustard,Ardeotis kori
Kurrichane Thrush,Turdus libonyana
Lanner Falcon,Falco biarmicus
Lappet-faced Vulture,Torgos tracheliotos
Large-billed Lark,Galerida magnirostris
Lark-like Bunting,Emberiza impetuani
Laughing Dove,Spilopelia senegalensis
Laughing Gull,Leucophaeus atricilla
Layard's Tit-babbler,Curruca layardi
Laysan Albatross,Phoebastria immutabilis
Lazy Cisticola,Cisticola aberrans
Leach's Storm Petrel,Hydrobates leucorhous
Lemon Dove,Columba larvata
Lemon-breasted Canary,Crithagra citrinipectus
Lesser Black-backed Gull,Larus fuscus
Lesser Crested Tern,Thalasseus bengalensis
Lesser Cuckoo,Cuculus poliocephalus
Lesser Flamingo,Phoeniconaias minor
Lesser Frigatebird,Fregata ariel
Lesser Grey Shrike,Lanius minor
Lesser Honeyguide,Indicator minor
Lesser Jacana,Microparra capensis
Lesser Kestrel,Falco naumanni
Lesser Masked Weaver,Ploceus intermedius
Lesser Moorhen,Paragallinula angulata
Lesser Noddy,Anous tenuirostris
Lesser Sand Plover,Charadrius mongolus
Lesser Spotted Eagle,Clanga pomarina
Lesser Striped Swallow,Cecropis abyssinica
Lesser Swamp Warbler,Acrocephalus gracilirostris
Lesser Whitethroat,Curruca curruca
Lesser Yellowlegs,Tringa flavipes
Levaillant's Cisticola,Cisticola tinniens
Levaillant's Cuckoo,Clamator levaillantii
Light-mantled Albatross,Phoebetria palpebrata
Lilac-breasted Roller,Coracias caudatus
Little Bee-eater,Merops pusillus
Little Bittern,Ixobrychus minutus
Little Blue Heron,Egretta caerulea
Little Crake,Zapornia parva
Little Egret,Egretta garzetta
Little Grebe,Tachybaptus ruficollis
Little Ringed Plover,Charadrius dubius
Little Rush Warbler,Bradypterus baboecala
Little Shearwater,Puffinus assimilis
Little Sparrowhawk,Accipiter minullus
Little Stint,Calidris minuta
Little Swift,Apus affinis
Little Tern,Sternula albifrons
Livingstone's Flycatcher,Erythrocercus livingstonei
Livingstone's Turaco,Tauraco livingstonii
Lizard Buzzard,Kaupifalco monogrammicus
Long-billed Crombec,Sylvietta rufescens
Long-crested Eagle,Lophaetus occipitalis
Long-tailed Jaeger,Stercorarius longicaudus
Long-tailed Paradise Whydah,Vidua paradisaea
Long-tailed Widowbird,Euplectes progne
Long-toed Lapwing,Vanellus crassirostris
Long-toed Stint,Calidris subminuta
Ludwig's Bustard,Neotis ludwigii
Macaroni Penguin,Eudyptes chrysolophus
Maccoa Duck,Oxyura maccoa
Madagascar Cuckoo,Cuculus rochii
Madagascar Pratincole,Glareola ocularis
Magpie Mannikin,Spermestes fringilloides
Magpie Shrike,Urolestes melanoleucus
Malachite Kingfisher,Corythornis cristatus
Malachite Sunbird,Nectarinia famosa
Malagasy Pond Heron,Ardeola idae
Mallard,Anas platyrhynchos
Mangrove Kingfisher,Halcyon senegaloides
Manx Shearwater,Puffinus puffinus
Marabou Stork,Leptoptilos crumenifer
Marico Flycatcher,Melaenornis mariquensis
Marico Sunbird,Cinnyris mariquensis
Marsh Owl,Asio capensis
Marsh Sandpiper,Tringa stagnatilis
Marsh Warbler,Acrocephalus palustris
Martial Eagle,Polemaetus bellicosus
Masked Booby,Sula dactylatra
Matsudaira's Storm Petrel,Hydrobates matsudairae
Melodious Lark,Mirafra cheniana
Meves's Starling,Lamprotornis mevesii
Meyer's Parrot,Poicephalus meyeri
Miombo Blue-eared Starling,Lamprotornis elisabeth
Mocking Cliff Chat,Thamnolaea cinnamomeiventris
Monotonous Lark,Mirafra passerina
Montagu's Harrier,Circus pygargus
Mosque Swallow,Cecropis senegalensis
Mottled Spinetail,Telacanthura ussheri
Mountain Pipit,Anthus hoeschi
Mountain Wagtail,Motacilla clara
Mountain Wheatear,Myrmecocichla monticola
Mute Swan,Cygnus olor
Namaqua Dove,Oena capensis
Namaqua Sandgrouse,Pterocles namaqua
Namaqua Warbler,Phragmacia substriata
Narina Trogon,Apaloderma narina
Natal Spurfowl,Pternistis natalensis
Neddicky,Cisticola fulvicapilla
Neergaard's Sunbird,Cinnyris neergaardi
Nicholson's Pipit,Anthus nicholsoni
Northern Black Korhaan,Afrotis afraoides
Northern Giant Petrel,Macronectes halli
Northern Pintail,Anas acuta
Northern Rockhopper Penguin,Eudyptes moseleyi
Northern Royal Albatross,Diomedea sanfordi
Northern Wheatear,Oenanthe oenanthe
Olive Bee-eater,Merops superciliosus
Olive Bushshrike,Chlorophoneus olivaceus
Olive Sunbird,Cyanomitra olivacea
Olive Thrush,Turdus olivaceus
Olive Woodpecker,Dendropicos griseocephalus
Olive-tree Warbler,Hippolais olivetorum
Orange Ground Thrush,Geokichla gurneyi
Orange River Francolin,Scleroptila gutturalis
Orange River White-eye,Zosterops pallidus
Orange-breasted Bushshrike,Chlorophoneus sulfureopectus
Orange-breasted Sunbird,Anthobaphes violacea
Orange-breasted Waxbill,Amandava subflava
Orange-winged Pytilia,Pytilia afra
Osprey,Pandion haliaetus
Ovambo Sparrowhawk,Accipiter ovampensis
Pacific Golden Plover,Pluvialis fulva
Pale Chanting Goshawk,Melierax canorus
Pale Flycatcher,Melaenornis pallidus
Pale-crowned Cisticola,Cisticola cinnamomeus
Pale-winged Starling,Onychognathus nabouroup
Pallid Harrier,Circus macrourus
Palm-nut Vulture,Gypohierax angolensis
Parasitic Jaeger,Stercorarius parasiticus
Pearl-breasted Swallow,Hirundo dimidiata
Pearl-spotted Owlet,Glaucidium perlatum
Pectoral Sandpiper,Calidris melanotos
Pel's Fishing Owl,Scotopelia peli
Pennant-winged Nightjar,Caprimulgus vexillarius
Peregrine Falcon,Falco peregrinus
Pied Avocet,Recurvirostra avosetta
Pied Crow,Corvus albus
Pied Kingfisher,Ceryle rudis
Pied Starling,Lamprotornis bicolor
Pied Wheatear,Oenanthe pleschanka
Pin-tailed Whydah,Vidua macroura
Pincoya Storm Petrel,Oceanites pincoyae
Pink-backed Pelican,Pelecanus rufescens
Pink-billed Lark,Spizocorys conirostris
Pink-throated Twinspot,Hypargos margaritatus
Pintado Petrel,Daption capense
Plain-backed Pipit,Anthus leucophrys
Plain-backed Sunbird,Anthreptes reichenowi
Pomarine Jaeger,Stercorarius pomarinus
Pririt Batis,Batis pririt
Protea Canary,Crithagra leucoptera
Purple Heron,Ardea purpurea
Purple Indigobird,Vidua purpurascens
Purple Roller,Coracias naevius
Purple-banded Sunbird,Cinnyris bifasciatus
Purple-crested Turaco,Gallirex porphyreolophus
Pygmy Falcon,Polihierax semitorquatus
Quailfinch,Ortygospiza atricollis
Racket-tailed Roller,Coracias spatulatus
Rattling Cisticola,Cisticola chiniana
Red Knot,Calidris canutus
Red Lark,Calendulauda burra
Red Phalarope,Phalaropus fulicarius
Red-backed Mannikin,Spermestes bicolor
Red-backed Shrike,Lanius collurio
Red-billed Buffalo Weaver,Bubalornis niger
Red-billed Firefinch,Lagonosticta senegala
Red-billed Oxpecker,Buphagus erythrorynchus
Red-billed Quelea,Quelea quelea
Red-billed Spurfowl,Pternistis adspersus
Red-billed Teal,Anas erythrorhyncha
Red-billed Tropicbird,Phaethon aethereus
Red-breasted Swallow,Cecropis semirufa
Red-capped Lark,Calandrella cinerea
Red-capped Robin-chat,Cossypha natalensis
Red-chested Cuckoo,Cuculus solitarius
Red-chested Flufftail,Sarothrura rufa
Red-collared Widowbird,Euplectes ardens
Red-crested Korhaan,Lophotis ruficrista
Red-eyed Dove,Streptopelia semitorquata
Red-faced Cisticola,Cisticola erythrops
Red-faced Mousebird,Urocolius indicus
Red-footed Booby,Sula sula
Red-footed Falcon,Falco vespertinus
Red-fronted Tinkerbird,Pogoniulus pusillus
Red-headed Finch,Amadina erythrocephala
Red-headed Quelea,Quelea erythrops
Red-headed Weaver,Anaplectes rubriceps
Red-knobbed Coot,Fulica cristata
Red-necked Buzzard,Buteo auguralis
Red-necked Falcon,Falco chicquera
Red-necked Phalarope,Phalaropus lobatus
Red-necked Spurfowl,Pternistis afer
Red-necked Stint,Calidris ruficollis
Red-rumped Swallow,Cecropis daurica
Red-tailed Shrike,Lanius phoenicuroides
Red-tailed Tropicbird,Phaethon rubricauda
Red-throated Pipit,Anthus cervinus
Red-throated Twinspot,Hypargos niveoguttatus
Red-throated Wryneck,Jynx ruficollis
Red-winged Francolin,Scleroptila levaillantii
Red-winged Starling,Onychognathus morio
Reed Cormorant,Microcarbo africanus
Retz's Helmet-shrike,Prionops retzii
River Warbler,Locustella fluviatilis
Rock Dove,Columba livia
Rock Kestrel,Falco rupicolus
Rock Martin,Ptyonoprogne fuligula
Rock Pratincole,Glareola nuchalis
Rose-ringed Parakeet,Psittacula krameri
Roseate Tern,Sterna dougallii
Rosy Starling,Pastor roseus
Rosy-faced Lovebird,Agapornis roseicollis
Rosy-throated Longclaw,Macronyx ameliae
Rudd's Apalis,Apalis ruddi
Rudd's Lark,Heteromirafra ruddi
Ruddy Turnstone,Arenaria interpres
Ruff,Calidris pugnax
Rufous-bellied Heron,Ardeola rufiventris
Rufous-breasted Sparrowhawk,Accipiter rufiventris
Rufous-cheeked Nightjar,Caprimulgus rufigena
Rufous-eared Warbler,Malcorus pectoralis
Rufous-naped Lark,Mirafra africana
Rufous-tailed Scrub Robin,Cercotrichas galactotes
Rufous-winged Cisticola,Cisticola galactotes
Rüppell's Vulture,Gyps rueppelli
Sabine's Gull,Xema sabini
Sabota Lark,Calendulauda sabota
Saddle-billed Stork,Ephippiorhynchus senegalensis
Salvin's Albatross,Thalassarche salvini
Salvin's Prion,Pachyptila salvini
Sand Martin,Riparia riparia
Sanderling,Calidris alba
Sandwich Tern,Thalasseus sandvicensis
Scaly-feathered Finch,Sporopipes squamifrons
Scaly-throated Honeyguide,Indicator variegatus
Scarlet-chested Sunbird,Chalcomitra senegalensis
Sclater's Lark,Spizocorys sclateri
Secretarybird,Sagittarius serpentarius
Sedge Warbler,Acrocephalus schoenobaenus
Senegal Coucal,Centropus senegalensis
Senegal Lapwing,Vanellus lugubris
Sentinel Rock Thrush,Monticola explorator
Shaft-tailed Whydah,Vidua regia
Shelley's Francolin,Scleroptila shelleyi
Shikra,Accipiter badius
Short-clawed Lark,Certhilauda chuana
Short-tailed Pipit,Anthus brachyurus
Short-toed Rock Thrush,Monticola brevipes
Shy Albatross,Thalassarche cauta
Sickle-winged Chat,Emarginata sinuata
Slaty Egret,Egretta vinaceigula
Slender-billed Gull,Chroicocephalus genei
Slender-billed Prion,Pachyptila belcheri
Snowy Egret,Egretta thula
Snowy Sheathbill,Chionis albus
Sociable Weaver,Philetairus socius
